Gene,Sample_01,Sample_09,Sample_17,Sample_25,Sample_33,Sample_41,Sample_02,Sample_10,Sample_18,Sample_26,Sample_34,Sample_42,Sample_05,Sample_13,Sample_21,Sample_29,Sample_37,Sample_45,Sample_06,Sample_14,Sample_22,Sample_30,Sample_38,Sample_46
0610005C13Rik,10,26,0,3,1,1,1,0,0,1,0,0,4,1,0,0,1,5,0,3,2,0,4,0
0610009L18Rik,37,13,80,74,23,32,53,108,65,39,37,41,66,73,58,51,45,21,65,54,101,34,47,19
0610043K17Rik,0,0,3,13,6,12,27,7,7,3,7,3,10,2,4,0,2,4,16,17,0,5,7,7
1110006O24Rik,0,0,17,7,21,11,8,34,7,10,37,21,10,2,24,13,15,13,0,0,9,3,8,19
1110008E08Rik,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0
1110019B22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110035H17Rik,0,4,3,3,16,9,0,1,26,7,14,4,27,19,6,8,15,18,0,17,8,15,16,4
1500009L16Rik,457.02,200,231,210,198,275,646,171,278,173,227,178,437,381,409,386,217,194,395,581,352,330,253,266
1700001C19Rik,5,0,8,1,7,1,0,0,3,2,5,2,0,17,4,12,6,2,29,18,7,7,1,2
1700001F09Rik,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001O22Rik,16,40,9,22,8,21,15,9,12,15,11,25,12,0,4,3,9,24,10,4,29,13,8,14
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0
1700003G18Rik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003I16Rik,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,0,4,0
1700006H21Rik,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1700011L03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012C14Rik,9,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0
1700014B07Rik,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
1700015I17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700016G22Rik,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
1700019J19Rik,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700020L13Rik,0,0,0,3,8,8,10,0,3,5,2,4,0,19,7,9,0,8,0,8,8,13,2,9
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700021J08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
1700024P12Rik,0,0,3,6,4,3,0,0,11,2,5,0,2,0,5,0,0,15,0,0,5,0,1,2
1700025N23Rik,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,10,0,1,10,1,0
1700026J14Rik,0,0,5,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0
1700026N04Rik,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,2
1700027J07Rik,3,0,11,10,10,17,0,0,0,2,6,49,0,0,5,1,0,7,0,0,2,6,12,12
1700029B22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700029M20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,3,0,0,0,0,0,0
1700030C14Rik,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
